"","parcela","especie","n"
"308","10","Genipa.americana",1
"309","10","Guapira.myrtiflora",1
"310","10","Guarea.fuzzy",3
"311","10","Guarea.grandifolia",0
"312","10","Guarea.guidonia",5
"313","10","Guatteria.dumetorum",2
"314","10","Guazuma.ulmifolia",0
"315","10","Guettarda.foliacea",3
"316","10","Gustavia.superba",4
"317","10","Hampea.appendiculata",1
"318","10","Hasseltia.floribunda",4
"319","10","Heisteria.acuminata",0
"320","10","Heisteria.concinna",5
"321","10","Hirtella.americana",0
"322","10","Hirtella.triandra",7
"323","10","Hura.crepitans",0
"324","10","Hieronyma.alchorneoides",0
"325","10","Inga.acuminata",0
"326","10","Inga.cocleensis",5
"327","10","Inga.goldmanii",2
"328","10","Inga.laurina",0
"329","10","Inga.semialata",1
"330","10","Inga.nobilis",3
"331","10","Inga.oerstediana",0
"332","10","Inga.pezizifera",0
"333","10","Inga.punctata",0
"334","10","Inga.ruiziana",0
"335","10","Inga.sapindoides",0
"336","10","Inga.spectabilis",0
"337","10","Inga.umbellifera",1
"338","10","Jacaranda.copaia",12
"339","10","Lacistema.aggregatum",2
"340","10","Lacmellea.panamensis",0
"341","10","Laetia.procera",0
"342","10","Laetia.thamnia",1
"343","10","Lafoensia.punicifolia",0
"344","10","Licania.hypoleuca",1
"345","10","Licania.platypus",0
"346","10","Lindackeria.laurina",2
"347","10","Lonchocarpus.heptaphyllus",4
"348","10","Luehea.seemannii",0
"349","10","Macrocnemum.roseum",0
"350","10","Maquira.guianensis.costaricana",3
"351","10","Margaritaria.nobilis",0
"352","10","Marila.laxiflora",0
"353","10","Maytenus.schippii",1
"354","10","Miconia.affinis",1
"355","10","Miconia.argentea",0
"356","10","Miconia.elata",0
"357","10","Miconia.hondurensis",0
"358","10","Mosannona.garwoodii",1
"359","10","Myrcia.gatunensis",0
"360","10","Myrospermum.frutescens",0
"361","10","Nectandra.cissiflora",5
"362","10","Nectandra.lineata",0
"363","10","Nectandra.purpurea",0
"364","10","Ochroma.pyramidale",0
"365","10","Ocotea.cernua",0
"366","10","Ocotea.oblonga",1
"367","10","Ocotea.puberula",2
"368","10","Ocotea.whitei",3
"369","10","Oenocarpus.mapora",20
"370","10","Ormosia.amazonica",0
"371","10","Ormosia.coccinea",0
"372","10","Ormosia.macrocalyx",0
"373","10","Pachira.quinata",0
"374","10","Pachira.sessilis",0
"375","10","Perebea.xanthochyma",6
"376","10","Cinnamomum.triplinerve",0
"377","10","Picramnia.latifolia",0
"378","10","Piper.reticulatum",0
"379","10","Platymiscium.pinnatum",0
"380","10","Platypodium.elegans",0
"381","10","Posoqueria.latifolia",0
"382","10","Poulsenia.armata",24
"383","10","Pourouma.bicolor",0
"384","10","Pouteria.fossicola",0
"385","10","Pouteria.reticulata",0
"386","10","Pouteria.stipitata",1
"387","10","Prioria.copaifera",2
"388","10","Protium.costaricense",4
"389","10","Protium.panamense",1
"390","10","Protium.tenuifolium",6
"391","10","Pseudobombax.septenatum",0
"392","10","Psidium.friedrichsthalianum",0
"393","10","Psychotria.grandis",0
"394","10","Pterocarpus.rohrii",0
"395","10","Quararibea.asterolepis",18
"396","10","Quassia.amara",0
"397","10","Randia.armata",1
"398","10","Sapium.broadleaf",0
"399","10","Sapium.glandulosum",0
"400","10","Schizolobium.parahyba",0
"401","10","Senna.dariensis",0
"402","10","Simarouba.amara",17
"403","10","Siparuna.guianensis",0
"404","10","Siparuna.pauciflora",1
"405","10","Sloanea.terniflora",2
"406","10","Socratea.exorrhiza",12
"407","10","Solanum.hayesii",2
"408","10","Sorocea.affinis",1
"409","10","Spachea.membranacea",0
"410","10","Spondias.mombin",2
"411","10","Spondias.radlkoferi",1
"412","10","Sterculia.apetala",0
"413","10","Swartzia.simplex.var.grandiflora",0
"414","10","Swartzia.simplex.continentalis",0
"415","10","Symphonia.globulifera",0
"416","10","Handroanthus.guayacan",0
"417","10","Tabebuia.rosea",0
"418","10","Tabernaemontana.arborea",10
"419","10","Tachigali.versicolor",1
"420","10","Talisia.nervosa",0
"421","10","Talisia.princeps",0
"422","10","Terminalia.amazonia",0
"423","10","Terminalia.oblonga",0
"424","10","Tetragastris.panamensis",6
"425","10","Tetrathylacium.johansenii",0
"426","10","Theobroma.cacao",0
"427","10","Thevetia.ahouai",0
"428","10","Tocoyena.pittieri",0
"429","10","Trattinnickia.aspera",1
"430","10","Trema.micrantha",0
"431","10","Trichanthera.gigantea",0
"432","10","Trichilia.pallida",0
"433","10","Trichilia.tuberculata",46
"434","10","Trichospermum.galeottii",0
"435","10","Triplaris.cumingiana",1
"436","10","Trophis.caucana",0
"437","10","Trophis.racemosa",2
"438","10","Turpinia.occidentalis",1
"439","10","Unonopsis.pittieri",9
"440","10","Virola.multiflora",1
"441","10","Virola.sebifera",17
"442","10","Virola.surinamensis",2
"443","10","Vismia.baccifera",0
"444","10","Vochysia.ferruginea",0
"445","10","Xylopia.macrantha",4
"446","10","Zanthoxylum.ekmanii",7
"447","10","Zanthoxylum.juniperinum",10
"448","10","Zanthoxylum.panamense",4
"449","10","Zanthoxylum.setulosum",0
"450","10","Zuelania.guidonia",0
"451","11","Abarema.macradenia",0
"452","11","Vachellia.melanoceras",0
"453","11","Acalypha.diversifolia",0
"454","11","Acalypha.macrostachya",0
"455","11","Adelia.triloba",0
"456","11","Aegiphila.panamensis",0
"457","11","Alchornea.costaricensis",10
"458","11","Alchornea.latifolia",0
"459","11","Alibertia.edulis",0
"460","11","Allophylus.psilospermus",0
"461","11","Alseis.blackiana",14
"462","11","Amaioua.corymbosa",0
"463","11","Anacardium.excelsum",1
"464","11","Andira.inermis",1
"465","11","Annona.spraguei",0
"466","11","Apeiba.glabra",2
"467","11","Apeiba.tibourbou",0
"468","11","Aspidosperma.desmanthum",0
"469","11","Astrocaryum.standleyanum",3
"470","11","Astronium.graveolens",0
"471","11","Attalea.butyracea",0
"472","11","Banara.guianensis",0
"473","11","Beilschmiedia.pendula",1
"474","11","Brosimum.alicastrum",5
"475","11","Brosimum.guianense",0
"476","11","Calophyllum.longifolium",0
"477","11","Casearia.aculeata",0
"478","11","Casearia.arborea",2
"479","11","Casearia.commersoniana",0
"480","11","Casearia.guianensis",0
"481","11","Casearia.sylvestris",0
"482","11","Cassipourea.guianensis",0
"483","11","Cavanillesia.platanifolia",0
"484","11","Cecropia.insignis",3
"485","11","Cecropia.obtusifolia",0
"486","11","Cedrela.odorata",0
"487","11","Ceiba.pentandra",2
"488","11","Celtis.schippii",0
"489","11","Cespedesia.spathulata",0
"490","11","Chamguava.schippii",0
"491","11","Chimarrhis.parviflora",0
"492","11","Maclura.tinctoria",0
"493","11","Chrysochlamys.eclipes",0
"494","11","Chrysophyllum.argenteum",2
"495","11","Chrysophyllum.cainito",0
"496","11","Coccoloba.coronata",0
"497","11","Coccoloba.manzinellensis",0
"498","11","Colubrina.glandulosa",0
"499","11","Cordia.alliodora",3
"500","11","Cordia.bicolor",10
"501","11","Cordia.lasiocalyx",5
"502","11","Coussarea.curvigemma",0
"503","11","Croton.billbergianus",1
"504","11","Cupania.cinerea",0
"505","11","Cupania.latifolia",0
"506","11","Cupania.rufescens",0
"507","11","Cupania.seemannii",2
"508","11","Dendropanax.arboreus",2
"509","11","Desmopsis.panamensis",0
"510","11","Diospyros.artanthifolia",1
"511","11","Dipteryx.oleifera",0
"512","11","Drypetes.standleyi",3
"513","11","Elaeis.oleifera",0
"514","11","Enterolobium.schomburgkii",0
"515","11","Erythrina.costaricensis",1
"516","11","Erythroxylum.macrophyllum",0
"517","11","Eugenia.florida",1
"518","11","Eugenia.galalonensis",0
"519","11","Eugenia.nesiotica",0
"520","11","Eugenia.oerstediana",6
"521","11","Faramea.occidentalis",17
"522","11","Ficus.colubrinae",0
"523","11","Ficus.costaricana",0
"524","11","Ficus.insipida",0
"525","11","Ficus.maxima",0
"526","11","Ficus.obtusifolia",0
"527","11","Ficus.popenoei",0
"528","11","Ficus.tonduzii",0
"529","11","Ficus.trigonata",0
"530","11","Ficus.yoponensis",0
"531","11","Garcinia.intermedia",1
"532","11","Garcinia.madruno",0
"533","11","Genipa.americana",0
"534","11","Guapira.myrtiflora",1
"535","11","Guarea.fuzzy",1
"536","11","Guarea.grandifolia",1
"537","11","Guarea.guidonia",5
"538","11","Guatteria.dumetorum",3
"539","11","Guazuma.ulmifolia",0
"540","11","Guettarda.foliacea",1
"541","11","Gustavia.superba",2
"542","11","Hampea.appendiculata",0
"543","11","Hasseltia.floribunda",5
"544","11","Heisteria.acuminata",0
"545","11","Heisteria.concinna",5
"546","11","Hirtella.americana",0
"547","11","Hirtella.triandra",12
"548","11","Hura.crepitans",0
"549","11","Hieronyma.alchorneoides",0
"550","11","Inga.acuminata",0
"551","11","Inga.cocleensis",0
"552","11","Inga.goldmanii",1
"553","11","Inga.laurina",0
"554","11","Inga.semialata",2
"555","11","Inga.nobilis",0
"556","11","Inga.oerstediana",0
"557","11","Inga.pezizifera",0
"558","11","Inga.punctata",0
"559","11","Inga.ruiziana",0
"560","11","Inga.sapindoides",0
"561","11","Inga.spectabilis",1
"562","11","Inga.umbellifera",0
"563","11","Jacaranda.copaia",7
"564","11","Lacistema.aggregatum",0
"565","11","Lacmellea.panamensis",0
"566","11","Laetia.procera",1
"567","11","Laetia.thamnia",1
"568","11","Lafoensia.punicifolia",0
"569","11","Licania.hypoleuca",0
"570","11","Licania.platypus",1
"571","11","Lindackeria.laurina",0
"572","11","Lonchocarpus.heptaphyllus",2
"573","11","Luehea.seemannii",4
"574","11","Macrocnemum.roseum",0
"575","11","Maquira.guianensis.costaricana",6
"576","11","Margaritaria.nobilis",0
"577","11","Marila.laxiflora",0
"578","11","Maytenus.schippii",1
"579","11","Miconia.affinis",0
"580","11","Miconia.argentea",0
"581","11","Miconia.elata",0
"582","11","Miconia.hondurensis",0
"583","11","Mosannona.garwoodii",0
"584","11","Myrcia.gatunensis",0
"585","11","Myrospermum.frutescens",0
"586","11","Nectandra.cissiflora",3
"587","11","Nectandra.lineata",0
"588","11","Nectandra.purpurea",0
"589","11","Ochroma.pyramidale",0
"590","11","Ocotea.cernua",0
"591","11","Ocotea.oblonga",3
"592","11","Ocotea.puberula",1
"593","11","Ocotea.whitei",3
"594","11","Oenocarpus.mapora",17
"595","11","Ormosia.amazonica",0
"596","11","Ormosia.coccinea",0
"597","11","Ormosia.macrocalyx",0
"598","11","Pachira.quinata",0
"599","11","Pachira.sessilis",0
"600","11","Perebea.xanthochyma",0
"601","11","Cinnamomum.triplinerve",0
"602","11","Picramnia.latifolia",1
"603","11","Piper.reticulatum",1
"604","11","Platymiscium.pinnatum",0
"605","11","Platypodium.elegans",1
"606","11","Posoqueria.latifolia",0
"607","11","Poulsenia.armata",22
"608","11","Pourouma.bicolor",1
"609","11","Pouteria.fossicola",0
"610","11","Pouteria.reticulata",5
"611","11","Pouteria.stipitata",1
"612","11","Prioria.copaifera",26
"613","11","Protium.costaricense",2
"614","11","Protium.panamense",0
"615","11","Protium.tenuifolium",4
"616","11","Pseudobombax.septenatum",0
"617","11","Psidium.friedrichsthalianum",0
"618","11","Psychotria.grandis",0
"619","11","Pterocarpus.rohrii",2
"620","11","Quararibea.asterolepis",25
"621","11","Quassia.amara",0
"622","11","Randia.armata",7
"623","11","Sapium.broadleaf",0
"624","11","Sapium.glandulosum",0
"625","11","Schizolobium.parahyba",0
"626","11","Senna.dariensis",0
"627","11","Simarouba.amara",7
"628","11","Siparuna.guianensis",1
"629","11","Siparuna.pauciflora",0
"630","11","Sloanea.terniflora",1
"631","11","Socratea.exorrhiza",5
"632","11","Solanum.hayesii",0
"633","11","Sorocea.affinis",1
"634","11","Spachea.membranacea",0
"635","11","Spondias.mombin",0
"636","11","Spondias.radlkoferi",1
"637","11","Sterculia.apetala",0
"638","11","Swartzia.simplex.var.grandiflora",10
"639","11","Swartzia.simplex.continentalis",5
"640","11","Symphonia.globulifera",0
"641","11","Handroanthus.guayacan",0
"642","11","Tabebuia.rosea",0
"643","11","Tabernaemontana.arborea",4
"644","11","Tachigali.versicolor",4
"645","11","Talisia.nervosa",0
"646","11","Talisia.princeps",0
"647","11","Terminalia.amazonia",0
"648","11","Terminalia.oblonga",0
"649","11","Tetragastris.panamensis",10
"650","11","Tetrathylacium.johansenii",0
"651","11","Theobroma.cacao",0
"652","11","Thevetia.ahouai",0
"653","11","Tocoyena.pittieri",0
"654","11","Trattinnickia.aspera",0
"655","11","Trema.micrantha",1
"656","11","Trichanthera.gigantea",0
"657","11","Trichilia.pallida",2
"658","11","Trichilia.tuberculata",41
"659","11","Trichospermum.galeottii",0
"660","11","Triplaris.cumingiana",1
"661","11","Trophis.caucana",2
"662","11","Trophis.racemosa",0
"663","11","Turpinia.occidentalis",1
"664","11","Unonopsis.pittieri",4
"665","11","Virola.multiflora",0
"666","11","Virola.sebifera",6
"667","11","Virola.surinamensis",4
"668","11","Vismia.baccifera",0
"669","11","Vochysia.ferruginea",0
"670","11","Xylopia.macrantha",1
"671","11","Zanthoxylum.ekmanii",1
"672","11","Zanthoxylum.juniperinum",0
"673","11","Zanthoxylum.panamense",1
"674","11","Zanthoxylum.setulosum",0
"675","11","Zuelania.guidonia",0
"676","12","Abarema.macradenia",0
"677","12","Vachellia.melanoceras",0
"678","12","Acalypha.diversifolia",0
"679","12","Acalypha.macrostachya",0
"680","12","Adelia.triloba",1
"681","12","Aegiphila.panamensis",1
"682","12","Alchornea.costaricensis",3
"683","12","Alchornea.latifolia",0
"684","12","Alibertia.edulis",0
"685","12","Allophylus.psilospermus",2
"686","12","Alseis.blackiana",19
"687","12","Amaioua.corymbosa",0
"688","12","Anacardium.excelsum",0
"689","12","Andira.inermis",0
"690","12","Annona.spraguei",0
"691","12","Apeiba.glabra",4
"692","12","Apeiba.tibourbou",0
"693","12","Aspidosperma.desmanthum",0
"694","12","Astrocaryum.standleyanum",1
"695","12","Astronium.graveolens",0
"696","12","Attalea.butyracea",0
"697","12","Banara.guianensis",0
"698","12","Beilschmiedia.pendula",2
"699","12","Brosimum.alicastrum",4
"700","12","Brosimum.guianense",0
"701","12","Calophyllum.longifolium",0
"702","12","Casearia.aculeata",0
"703","12","Casearia.arborea",1
"704","12","Casearia.commersoniana",0
"705","12","Casearia.guianensis",0
"706","12","Casearia.sylvestris",1
"707","12","Cassipourea.guianensis",2
"708","12","Cavanillesia.platanifolia",0
"709","12","Cecropia.insignis",2
"710","12","Cecropia.obtusifolia",1
"711","12","Cedrela.odorata",0
"712","12","Ceiba.pentandra",0
"713","12","Celtis.schippii",1
"714","12","Cespedesia.spathulata",0
"715","12","Chamguava.schippii",0
"716","12","Chimarrhis.parviflora",0
"717","12","Maclura.tinctoria",0
"718","12","Chrysochlamys.eclipes",0
"719","12","Chrysophyllum.argenteum",1
"720","12","Chrysophyllum.cainito",0
"721","12","Coccoloba.coronata",0
"722","12","Coccoloba.manzinellensis",0
"723","12","Colubrina.glandulosa",0
"724","12","Cordia.alliodora",0
"725","12","Cordia.bicolor",2
"726","12","Cordia.lasiocalyx",3
"727","12","Coussarea.curvigemma",3
"728","12","Croton.billbergianus",2
"729","12","Cupania.cinerea",0
"730","12","Cupania.latifolia",0
"731","12","Cupania.rufescens",0
"732","12","Cupania.seemannii",1
"733","12","Dendropanax.arboreus",2
"734","12","Desmopsis.panamensis",0
"735","12","Diospyros.artanthifolia",0
"736","12","Dipteryx.oleifera",0
"737","12","Drypetes.standleyi",2
"738","12","Elaeis.oleifera",0
"739","12","Enterolobium.schomburgkii",0
"740","12","Erythrina.costaricensis",0
"741","12","Erythroxylum.macrophyllum",1
"742","12","Eugenia.florida",1
"743","12","Eugenia.galalonensis",1
"744","12","Eugenia.nesiotica",2
"745","12","Eugenia.oerstediana",1
"746","12","Faramea.occidentalis",38
"747","12","Ficus.colubrinae",0
"748","12","Ficus.costaricana",0
"749","12","Ficus.insipida",0
"750","12","Ficus.maxima",0
"751","12","Ficus.obtusifolia",0
"752","12","Ficus.popenoei",1
"753","12","Ficus.tonduzii",1
"754","12","Ficus.trigonata",0
"755","12","Ficus.yoponensis",0
"756","12","Garcinia.intermedia",3
"757","12","Garcinia.madruno",0
"758","12","Genipa.americana",0
"759","12","Guapira.myrtiflora",3
"760","12","Guarea.fuzzy",1
"761","12","Guarea.grandifolia",0
"762","12","Guarea.guidonia",3
"763","12","Guatteria.dumetorum",2
"764","12","Guazuma.ulmifolia",0
"765","12","Guettarda.foliacea",0
"766","12","Gustavia.superba",3
"767","12","Hampea.appendiculata",1
"768","12","Hasseltia.floribunda",0
"769","12","Heisteria.acuminata",0
"770","12","Heisteria.concinna",12
"771","12","Hirtella.americana",0
"772","12","Hirtella.triandra",6
"773","12","Hura.crepitans",2
"774","12","Hieronyma.alchorneoides",0
