"Sites","Clay","Silt","Sand","K2O","Mg","Na100g","K","Elev"
49,0.62,0.31,0.03,0.7,18,12.3,2.6,3
50,0.82,0.17,0.02,2.1,24.3,8.3,2.2,2
51,0.77,0.2,0.02,1.5,12,7.6,2.2,3
52,0.76,0.17,0.02,1.1,20.3,10.6,2.1,2
53,0.72,0.24,0.03,1.4,10,6.8,2.3,2
54,0.77,0.18,0.03,2.5,13,6.4,2.6,3
55,0.72,0.24,0.03,1.4,10,6.8,2.3,3
56,0.72,0.24,0.03,1.4,10,6.8,2.3,2
57,0.72,0.26,0.02,3.7,14.6,7.8,2.3,2
58,0.72,0.22,0.02,1.2,10.3,5.4,2.3,3
59,0.67,0.29,0.03,1.1,23.2,9.6,2,2
60,0.68,0.3,0.03,1.1,23.9,12.1,2.9,1
61,0.38,0.23,0.39,0.8,15.8,2.6,0.5,3
62,0.36,0.25,0.4,0.3,12.5,2.6,0.4,3
63,0.6,0.34,0.05,0.6,17.6,4.2,0.8,5
64,0.44,0.33,0.23,0.8,19.6,3.2,0.4,6
65,0.5,0.13,0.32,0.4,9.6,3.3,0.5,2
66,0.71,0.24,0.05,1,12.5,10.5,1.4,2
67,0.53,0.44,0.04,1.6,15.8,18,1.7,2
68,0.65,0.32,0.02,0.5,14.8,8,1,1
69,0.6,0.36,0.05,1.6,17.1,10.4,1,2
70,0.58,0.37,0.04,0.8,11.7,5.7,0.7,3
71,0.61,0.33,0.03,1.1,21.7,25.2,1.8,1
72,0.66,0.28,0.05,2.1,13.6,6.6,2.9,1
73,0.62,0.32,0.06,1.2,11,10.4,1.2,1
74,0.6,0.35,0.05,2.6,31.4,7.2,2,2
75,0.58,0.37,0.07,0.6,14.5,4.6,0.8,2
76,0.58,0.33,0.05,1.2,22.4,8.6,1.6,6
77,0.4,0.49,0.1,1.6,9.6,4.4,2,2
78,0.68,0.27,0.03,1.4,6,1.8,0.9,2
79,0.58,0.37,0.04,0.8,11.7,5.7,0.7,2
80,0.62,0.34,0.05,1,10.6,4.3,0.7,6
81,0.65,0.32,0.04,0.7,11.8,5.4,0.8,3
82,0.61,0.28,0.09,0.7,9,8.1,0.8,4
83,0.64,0.28,0.09,0.9,9,7.8,0.9,4
84,0.61,0.33,0.06,0.6,16,0.7,0.6,4
85,0.44,0.34,0.2,0.4,8,3.3,0.5,4
86,0.65,0.32,0.04,0.7,11.8,5.4,0.8,2
87,0.42,0.3,0.26,1.1,9,1.3,1,7
88,0.61,0.33,0.06,0.9,10,6,0.7,6
89,0.75,0.19,0.06,2,13,1.4,0.7,3
90,0.75,0.19,0.06,2,13,1.4,0.7,3
91,0.62,0.24,0.06,0.4,13,0.8,0.6,4
92,0.62,0.24,0.06,0.4,13,0.8,0.6,3
93,0.54,0.25,0.13,1.1,15.3,4.9,1,3
94,0.57,0.31,0.13,0.6,12,0.9,0.8,4
95,0.18,0.16,0.63,0.5,9,0.9,0.6,3
96,0.48,0.42,0.07,0.6,20.7,3.6,1.1,4
97,0.52,0.36,0.09,1.4,13.5,3.2,0.6,3
